联发·君澜天地,25.263234,"110.337759
            ","""广西壮族自治区桂林市七星区东二环路""","0773-2205858,07732205522"
信昌碧水康城,25.255179,"110.317866
            ","""穿山东路西面体育运动中心南面""",(0773)5801666
彰泰兰乔圣菲,25.253655,"110.319283
            ","""穿山东路22号""",(0773)2622988
冠泰水晶城,25.293629,"110.331845
            ","""桂林市七星区环城北二路36号""",(0773)2557188
明珠花园,25.266483,"110.328536
            ","""桂林市七星区七星路三巷""",(0773)5825033
兴进·上郡,25.256133,"110.331232
            ","""桂林市七星区体育中心以东800米（环城南路与七星路交汇处西北侧）""",(0773)5803355
春江苑,25.310295,"110.316717
            ","""叠彩区虞山桥以北500米""",(0773)5849518
阳光叠彩,25.337612,"110.317134
            ","""桂林市叠彩区北彩道8号(火车始发站桂林北站斜对面)""",0773-2665888
长城花园,25.269022,"110.327843
            ","""普驮路广西师范大学附近""",(0773)5841888
八里街1号公馆,25.366497,"110.316666
            ","""八里街桂黄公路与纬七路交叉处""",(0773)2667000
龙湖大厦,25.296824,"110.304046
            ","""中山北路35号龙湖大厦二楼J2区域""",(0773)3119888
羊角山小区,25.281499,"110.33151
            ","""普陀路64号""",13635195951
漓江花园,25.296097,"110.321823
            ","""环城北二路52号""",(0773)5803030
天香佳园,25.265357,"110.321449
            ","""漓江路13号""",0773-2686666
高新创业大厦,25.257263,"110.326846
            ","""桂林市七星区空明西路13-1号""",(0773)2636899
长盛时代广场,25.253348,"110.335375
            ","""高新区南环一路3号（车辆管理所旁）""",(0773)2635396
兴进广场,25.252579,"110.333234
            ","""桂林市七星区五里店路(七星老师公寓对面)""",(0773)2188899
桂林北新区,25.330431,"110.303144
            ","""甲山街道办事处福利路7号""",(0773)2668988
公园林涧,25.282252,"110.322629
            ","""六合路（七星公园北门附近）""",(0773)5610222
金河大厦,25.333742,"110.314292
            ","""中山北路与站前路交汇处""",(0773)2562889
合通巴比伦,25.243601,"110.351007
            ","""东二环中央区域（三里店大转盘往东三公里处）""",(0773)5888880
合鑫大楼,25.254969,"110.325822
            ","""广西壮族自治区桂林市七星区骖鸾路25号""",(0773)3891188
蓝洲湾,25.345208,"110.325228
            ","""八里街区八里街纬三路银庄小区58号""",(0773)6595068
朝阳山庄别墅区,25.257714,"110.337012
            ","""桂林市七星区""",(0773)5655715
公园绿涛湾,25.273241,"110.324771
            ","""七星路9号（龙隐小学旁）/家乐商贸城旁边""",(0773)2681666
